# Every word the apps show, in one place. Columns: key, then one per language (BCP-47).
# A key is dotted by screen: sampling.title. {0} {1} … are arguments, filled in order.
# Regenerate the code after editing: scripts/i18n.py (run by the build; scripts/i18n.py --check refuses a hole).
key	en	de
app.settings	Settings	Einstellungen
app.done	Done	Fertig
app.progress	Progress	Verlauf
app.tuning	Tuning	Stimmen
app.partials	Partials	Teiltöne
app.onePartial	One partial	Ein Teilton
sampling.title	Sampling your piano	Ihr Klavier wird vermessen
sampling.line	Single strings, the keys you choose, {0} of them: Accept keeps a string; a key struck again replaces its sample.	Einzelne Saiten, Tasten nach Wahl, {0} davon: Übernehmen behält eine Saite; eine erneut angeschlagene Taste ersetzt ihre Probe.
sampling.lineSet	Single strings, the {0} keys below: Accept keeps a string; a key struck again replaces its sample.	Einzelne Saiten, die {0} Tasten unten: Übernehmen behält eine Saite; eine erneut angeschlagene Taste ersetzt ihre Probe.
sampling.strikeAny	strike a key: one string, one wedge	eine Taste anschlagen: eine Saite, ein Keil
sampling.caught	caught — Accept keeps it	erkannt — Übernehmen behält sie
sampling.kept	kept	behalten
app.accept	Accept	Übernehmen
sampling.count	{0} of {1}	{0} von {1}
state.listening	listening	hört zu
state.matches	matches	stimmt
state.sharp	sharp	zu hoch
state.flat	flat	zu tief
state.complete	complete	fertig
state.heardOther	that's {0}	das ist {0}
state.off	{0} c {1}	{0} c {1}
origin.reference	the reference, set on the hub	die Referenz, auf dem Hub gesetzt
origin.temperament	equal temperament on A4 {0}	gleichstufig auf A4 {0}
origin.curve	{0} octave to {1} on the curve	{0}-Oktave zu {1} nach der Kurve
origin.wide	, {0} c wide	, {0} c weit
origin.beatless	, beatless	, schwebungsfrei
origin.check	 · {0} stands {1} c {2}	 · {0} steht {1} c {2}
origin.wideWord	wide	weit
origin.narrowWord	narrow	eng
origin.octave	{0} octave to {1}	{0}-Oktave zu {1}
origin.untuned	equal temperament — {0} not tuned yet	gleichstufig — {0} noch nicht gestimmt
settings.tab.temperament	Temperament	Temperatur
settings.tab.about	About	Über
settings.tab.license	License	Lizenz
settings.tab.care	Customer care	Kundenpflege
settings.tab.research	Research	Forschung
settings.language	Language	Sprache
settings.language.system	System	System
